Thread 28 energy 23.6713 is lower than cutoff (100), continue
Thread 20 energy 1836.53 is higher than cutoff (100), skip
Thread 22 energy 45142.2 is higher than cutoff (100), skip
Thread 24 energy 20.6524 is lower than cutoff (100), continue
Thread 19 energy 96.0529 is lower than cutoff (100), continue
Thread 25 energy 45134.2 is higher than cutoff (100), skip
Thread 23 energy 29.7879 is lower than cutoff (100), continue
Thread 27 energy 32.2318 is lower than cutoff (100), continue
Thread 29 energy 45134 is higher than cutoff (100), skip
Thread 18 energy 45146.1 is higher than cutoff (100), skip
Thread 21 energy 45131.4 is higher than cutoff (100), skip
Thread 17 energy 45130.3 is higher than cutoff (100), skip
Thread 26 energy 45134.2 is higher than cutoff (100), skip
Total Time: 45 minutes
