Thread 23 energy 23408.8 is higher than cutoff (100), skip
Thread 18 energy 80615.5 is higher than cutoff (100), skip
Thread 27 energy 49067.6 is higher than cutoff (100), skip
Thread 26 energy 67483.5 is higher than cutoff (100), skip
Thread 20 energy 51452 is higher than cutoff (100), skip
Thread 29 energy 1654.14 is higher than cutoff (100), skip
Thread 17 energy 108550 is higher than cutoff (100), skip
Thread 24 energy 14446.3 is higher than cutoff (100), skip
Thread 19 energy 19711.5 is higher than cutoff (100), skip
Thread 25 energy 67675.2 is higher than cutoff (100), skip
Thread 22 energy 79969 is higher than cutoff (100), skip
Thread 21 energy 57794.9 is higher than cutoff (100), skip
Thread 28 energy 64110.1 is higher than cutoff (100), skip
Total Time: 4 minutes
