Thread 24 energy 35680.8 is higher than cutoff (100), skip
Thread 17 energy 403052 is higher than cutoff (100), skip
Thread 27 energy 296324 is higher than cutoff (100), skip
Thread 19 energy 296342 is higher than cutoff (100), skip
Thread 29 energy 37858 is higher than cutoff (100), skip
Thread 20 energy 5537.65 is higher than cutoff (100), skip
Thread 22 energy 464435 is higher than cutoff (100), skip
Thread 28 energy 54.9706 is lower than cutoff (100), continue
Thread 21 energy 455498 is higher than cutoff (100), skip
Thread 18 energy 464447 is higher than cutoff (100), skip
Thread 23 energy 168533 is higher than cutoff (100), skip
Thread 26 energy 334134 is higher than cutoff (100), skip
Thread 25 energy 331124 is higher than cutoff (100), skip
Total Time: 3 minutes
