runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
4001,7.2222,39.9242,True,60.0769,True,1.1283,1.0,000110011001100110000
4002,7.3156,43.6687,True,83.1841,True,2.3944,0.93,000110011001100110000
4005,6.787,38.8568,True,50.898,True,0.5427,0.98,000110011001100110000
4008,7.4675,35.0,True,47.6719,True,4.9176,1.0,000110011001100110000
4010,6.626,44.2106,True,60.1041,True,4.0207,1.0,000110011001100110000
4012,7.5,40.3366,True,54.0605,True,4.4595,1.0,000110011001100110000
4013,6.6005,44.397,True,55.2863,True,1.7933,1.0,000110011001100110000
4020,7.4247,42.847,True,35.995,True,2.8614,1.0,000110011001100110000
4023,7.395,36.5921,True,61.3173,True,3.9036,1.0,000110011001100110000
4024,7.298,35.7695,True,69.9282,True,2.2458,0.97,000110011001100110000
4027,7.4707,35.3102,True,6.0623,True,3.5065,0.93,000110011001100110000
4028,6.5792,39.7316,True,55.4034,True,2.9901,1.0,000110011001100110000
4030,7.2779,38.0126,True,64.5532,True,0.6919,0.98,000110011001100110000
4031,7.3408,41.0408,True,50.983,True,2.079,1.0,000110011001100110000
4033,6.8566,43.07,True,52.7478,True,3.5014,1.0,000110011001100110000
4035,6.749,43.0207,True,50.2073,True,4.7977,1.0,000110011001100110000
4036,7.352,43.6777,True,56.9977,True,2.445,1.0,000110011001100110000
4037,6.8761,44.3391,True,45.4702,True,4.552,1.0,000110011001100110000
4038,7.2857,35.6829,True,69.0807,True,0.7665,0.98,000110011001100110000
4040,6.98,40.7951,True,51.8709,True,3.7243,1.0,000110011001100110000
4045,7.5,35.0,True,43.8811,True,3.979,1.0,000110011001100110000
4046,7.491,42.1509,True,37.9005,True,3.6971,1.0,000110011001100110000
4049,7.396,39.6413,True,68.435,True,2.0863,1.0,000110011001100110000
4050,7.0713,43.0414,True,38.4728,True,3.107,0.99,000110011001100110000
4051,7.1438,45.0,True,17.3182,True,3.7366,1.0,000110011001100110000
4052,7.5,39.8422,True,63.2751,True,1.6779,1.0,000110011001100110000
4054,7.0661,36.2287,True,60.5559,True,3.5735,1.0,000110011001100110000
4055,6.8046,43.5682,True,38.4457,True,1.121,1.0,000110011001100110000
4057,7.5,35.1198,True,46.2151,True,0.7102,1.0,000110011001100110000
4059,6.6842,42.2533,True,55.3955,True,2.4459,1.0,000110011001100110000
4063,7.3988,40.0583,True,20.4946,True,2.9706,1.0,000110011001100110000
4066,7.3742,35.0,True,50.1878,True,4.1721,1.0,000110011001100110000
4068,7.3039,45.0,True,20.5585,True,3.5379,1.0,000110011001100110000
4071,7.2503,35.0,True,64.6646,True,1.0174,1.0,000110011001100110000
4076,7.3395,35.0,True,54.0613,True,2.208,1.0,000110011001100110000
4078,7.1475,37.3284,True,52.282,True,1.3136,1.0,000110011001100110000
4081,7.3729,37.0663,True,71.7656,True,0.7905,0.98,000110011001100110000
4082,7.2522,39.5515,True,34.12,True,3.4061,0.93,000110011001100110000
4084,7.5,45.0,True,15.5515,True,5.1953,0.98,000110011001100110000
4085,6.8453,45.0,True,49.7876,True,1.4019,1.0,000110011001100110000
4086,7.4445,40.9607,True,77.5101,True,2.0263,0.96,000110011001100110000
4087,7.3877,43.0962,True,32.9418,True,5.0982,0.98,000110011001100110000
4088,7.4996,44.7988,True,40.9782,True,2.6985,1.0,000110011001100110000
4094,7.1168,38.9844,True,69.0631,True,4.4619,0.97,000110011001100110000
4097,6.5,41.2673,True,45.4304,True,0.6624,0.98,000110011001100110000
4098,6.5108,35.1152,True,53.1892,True,4.0492,1.0,000110011001100110000
4100,7.2912,44.8492,True,56.0031,True,2.7142,1.0,000110011001100110000
4101,7.3394,43.9626,True,42.953,True,1.3987,1.0,000110011001100110000
4102,6.5091,39.8529,True,59.4908,True,0.1656,0.98,000110011001100110000
4106,7.4768,42.7605,True,56.5106,True,3.25,1.0,000110011001100110000
4109,7.1848,39.6453,True,69.3689,True,4.9418,1.0,000110011001100110000
4111,7.5,42.3523,True,60.31,True,1.4199,1.0,000110011001100110000
4113,7.4372,40.9138,True,70.7751,True,3.7241,0.99,000110011001100110000
4114,7.2077,35.0,True,43.7429,True,3.2769,1.0,000110011001100110000
4116,7.1807,44.5294,True,35.1406,True,0.284,0.99,000110011001100110000
4117,6.9734,44.516,True,52.8763,True,2.4883,1.0,000110011001100110000
4118,7.439,44.2967,True,51.666,True,0.5504,1.0,000110011001100110000
4119,7.1099,36.0417,True,40.8191,True,4.9613,1.0,000110011001100110000
4120,7.4442,44.5563,True,31.7125,True,2.3127,0.99,000110011001100110000
4121,6.6607,45.0,True,64.1057,True,0.6412,1.0,000110011001100110000
4122,7.5,40.7814,True,65.9902,True,4.1859,1.0,000110011001100110000
4126,7.5,40.2827,True,60.1642,True,3.114,1.0,000110011001100110000
4127,6.918,41.1231,True,55.7173,True,3.2552,1.0,000110011001100110000
4128,6.9791,45.0,True,49.8151,True,0.8536,0.99,000110011001100110000
4129,7.5,38.712,True,74.1308,True,1.3947,0.99,000110011001100110000
4133,6.6465,43.1657,True,36.7785,True,4.6157,0.95,000110011001100110000
4135,7.4752,37.1588,True,33.3964,True,3.1849,1.0,000110011001100110000
4136,7.1385,40.0011,True,50.248,True,3.4384,1.0,000110011001100110000
4140,7.2863,44.9248,True,42.5054,True,3.5191,1.0,000110011001100110000
4142,6.9823,37.4675,True,46.0087,True,1.9866,1.0,000110011001100110000
4144,7.5,43.5301,True,64.1238,True,3.5033,1.0,000110011001100110000
