runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2,9.1569,25.0918,False,70.1473,True,3.9016,0.99,000011001101100110000
3,9.2761,20.6635,False,87.2948,True,5.4049,0.98,000011011001101100000
4,9.5,21.7235,False,16.7676,True,2.6704,0.99,000110011011001100000
5,9.221,22.4593,False,72.8054,True,3.8888,0.98,000011001101100110000
6,9.4049,27.6384,False,57.3569,True,1.9354,0.95,000011011001101100000
7,9.1952,21.3066,False,65.1264,True,3.1547,1.0,000011001101100110000
8,8.8446,18.0,False,63.0678,True,3.1183,1.0,000011001101100110000
12,9.3338,18.4872,False,20.1014,True,3.3686,0.89,000110011011001100000
13,9.364,18.0,False,7.633,True,1.2689,0.88,000110011011001100000
15,9.4099,27.0253,False,26.3754,True,3.6752,0.88,000110011011001100000
20,8.7438,21.3899,False,26.3867,True,4.8192,0.98,000110011011001100000
22,9.3504,28.0,False,53.0142,True,1.576,0.92,000011011001101100000
23,8.7974,19.5532,False,55.0078,True,2.6871,0.99,000011011001101100000
25,9.1872,22.389,False,84.8425,True,5.6534,0.87,000011011001101100000
29,9.1852,21.3127,False,57.2221,True,0.5203,0.9,000011011001101100000
30,9.0474,21.3563,False,45.3422,True,0.8473,0.95,000011011001101100000
31,9.3535,25.8795,False,44.5035,True,1.1929,0.89,000011011001101100000
32,9.3341,19.6991,False,74.483,True,4.4736,1.0,000011001101100110000
33,8.9175,25.5985,False,54.8652,True,2.3329,0.94,000011011001101100000
35,9.433,23.2186,False,69.3729,True,2.6203,0.9,000011001101100110000
36,9.4491,21.3262,False,52.2067,True,2.4711,0.9,000011011001101100000
37,8.8337,24.7766,False,49.1605,True,1.7792,0.95,000011011001101100000
38,8.7236,18.09,False,49.4436,True,0.8594,0.83,000011011001101100000
40,9.0015,22.6442,False,20.0499,True,4.4316,0.95,000110011011001100000
41,9.3252,22.7682,False,93.3337,True,4.9576,0.88,000011011001101100000
43,9.2767,22.9121,False,84.6637,True,3.9751,0.9,000011001101100110000
45,8.6395,26.7676,False,89.5832,True,0.0133,0.99,000011001101100110000
48,8.817,28.0,False,50.5704,True,1.373,0.89,000011011001101100000
53,9.3321,21.9262,False,34.8804,True,4.1613,1.0,000011011001101100000
55,9.049,19.2008,False,9.1147,True,1.5142,0.87,000110011011001100000
57,9.5,28.0,False,7.4272,True,0.9417,0.88,000110011011001100000
58,9.1547,20.316,False,63.3614,True,2.0371,0.9,000011001101100110000
59,9.144,26.8322,False,49.5119,True,1.9226,0.93,000011011001101100000
60,9.3988,27.6195,False,16.3481,True,2.9689,0.98,000110011011001100000
64,9.5,28.0,False,79.6016,True,5.1843,0.85,000011011001101100000
66,9.4542,19.3936,False,3.3795,True,1.8165,0.92,000110011011001100000
67,9.2696,26.4589,False,88.1608,True,5.1657,0.95,000011011001101100000
69,8.7117,27.3363,False,47.614,True,1.7238,0.99,000011011001101100000
70,9.167,18.5303,False,7.73,True,1.9352,0.88,000110011011001100000
71,9.1945,27.1897,False,30.6704,True,3.7165,0.97,000011011001101100000
72,9.4761,24.3747,False,39.0225,True,4.8544,0.9,000011011001101100000
76,9.3436,25.8508,False,13.8125,True,3.1737,1.0,000110011011001100000
81,9.4906,21.5973,False,87.3721,True,0.2262,0.87,000011001101100110000
83,9.5,22.0874,False,43.7467,True,5.2314,0.88,000011011001101100000
85,9.3989,18.2467,False,85.7945,True,0.2858,0.87,000011001101100110000
86,8.7171,20.0584,False,47.4723,True,0.5188,0.84,000011011001101100000
88,8.8059,18.797,False,85.2448,True,0.5273,0.83,000011001101100110000
89,8.5022,24.371,False,39.1869,True,0.12,0.82,000011011001101100000
91,9.5,20.8379,False,22.3907,True,3.3173,0.98,000110011011001100000
92,9.4846,24.5839,False,67.2616,True,3.7557,0.97,000011001101100110000
93,9.047,26.1242,False,37.0157,True,5.2983,0.9,000110011011001100000
94,9.5,18.1592,False,10.9556,True,1.9493,0.99,000110011011001100000
95,9.5,26.7949,False,18.4546,True,2.0387,1.0,000011011001101100000
96,8.6866,24.5496,False,49.1342,True,1.7515,1.0,000011011001101100000
97,9.3303,24.558,False,90.6954,True,0.5538,0.89,000011001101100110000
98,9.4677,27.7332,False,50.2116,True,1.501,0.98,000011011001101100000
99,8.658,18.4342,False,43.2369,True,0.114,0.99,000011011001101100000
101,8.8034,20.6604,False,32.9646,True,5.7272,0.8,000110011011001100000
103,9.5,19.0347,False,56.9541,True,2.9697,0.98,000011011001101100000
104,9.4057,20.7029,False,49.9731,True,5.1959,0.96,000011011001101100000
105,9.5,23.4724,False,25.5895,True,3.2542,0.86,000110011011001100000
107,9.4501,22.3804,False,98.77,True,0.3044,0.88,000011001101100110000
108,8.6827,19.9242,False,86.3022,True,5.7158,0.8,000011011001101100000
109,9.3834,18.1768,False,24.8435,True,2.4942,0.86,000011011001101100000
110,9.1056,19.4795,False,20.95,True,3.5333,0.9,000110011011001100000
111,9.4157,21.6497,False,29.2985,True,2.9928,0.93,000011011001101100000
113,8.9371,18.0,False,61.3603,True,3.4201,0.95,000011001101100110000
115,9.3767,27.6439,False,15.0652,True,3.5196,0.86,000110011011001100000
116,9.5,18.7608,False,57.2083,True,0.6684,0.88,000011011001101100000
118,8.6819,18.0,False,94.4717,True,1.0089,0.82,000011001101100110000
121,9.0323,18.0,False,72.843,True,4.4723,0.9,000011001101100110000
