runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2004,8.259,35.0,True,80.164,True,5.4402,0.98,000110011001100110000
2006,8.6109,44.0294,True,99.8484,True,0.2521,0.92,000110011001100110000
2007,8.4997,42.8454,True,60.7317,True,3.2099,0.99,000110011001100110000
2008,8.6323,39.0775,True,83.6799,True,5.4154,0.99,000110011001100110000
2009,8.9324,40.0463,True,80.8209,True,4.1895,1.0,000110011001100110000
2012,8.5442,42.9429,True,98.0563,True,2.5656,0.94,000110011001100110000
2013,8.1932,35.3614,True,72.1986,True,5.0755,1.0,000110011001100110000
2014,8.0148,35.0,True,62.8522,True,4.2416,1.0,000110011001100110000
2016,8.0,42.5222,True,76.0035,True,4.5565,1.0,000110011001100110000
2017,9.0,41.274,True,84.8227,True,3.5698,1.0,000110011001100110000
2021,8.4396,44.5744,True,57.3634,True,0.8091,1.0,000110011001100110000
2023,8.7768,39.4108,True,55.6214,True,2.8157,0.99,000110011001100110000
2027,8.7044,38.5718,True,61.3419,True,0.5952,0.98,000110011001100110000
2030,8.8679,35.0,True,85.6217,True,0.8677,0.96,000110011001100110000
2031,8.8453,35.4589,True,53.0589,True,5.1445,0.92,000110011001100110000
2032,8.0,40.2011,True,60.2409,True,0.9756,0.98,000110011001100110000
2041,9.0,38.4927,True,89.592,True,5.0181,0.98,000110011001100110000
2042,8.8295,41.1297,True,51.7928,True,3.3554,0.94,000110011001100110000
2044,8.6055,40.4398,True,59.7554,True,1.121,0.99,000110011001100110000
2045,9.0,45.0,True,91.2235,True,0.2648,0.89,000110011001100110000
2051,8.957,44.4827,True,94.4061,True,5.2328,0.91,000110011001100110000
2056,8.5141,44.5504,True,72.2743,True,5.1348,1.0,000110011001100110000
2057,8.8458,37.0814,True,94.6721,True,2.784,0.95,000110011001100110000
2060,8.9496,38.1455,True,82.7111,True,5.2668,0.98,000110011001100110000
2062,8.3974,38.2475,True,86.7152,True,3.7933,0.86,000110011001100110000
2064,8.0155,35.5501,True,57.4723,True,4.8795,0.96,000110011001100110000
2066,9.0,44.2047,True,71.3504,True,0.864,1.0,000110011001100110000
2070,8.1508,45.0,True,67.5622,True,3.3472,1.0,000110011001100110000
2071,8.1714,39.5698,True,70.869,True,3.0786,1.0,000110011001100110000
2077,8.1244,40.7635,True,58.1413,True,0.25,0.98,000110011001100110000
2078,8.0892,42.5375,True,67.5966,True,1.3362,1.0,000110011001100110000
2081,8.4748,35.0,True,78.7538,True,5.0247,1.0,000110011001100110000
2084,8.3778,45.0,True,50.939,True,2.5108,0.98,000110011001100110000
2087,8.0334,43.9776,True,76.0636,True,5.3072,1.0,000110011001100110000
2090,8.1017,35.1563,True,60.8945,True,1.7168,1.0,000110011001100110000
2099,8.3303,44.893,True,65.8931,True,2.4495,1.0,000110011001100110000
2100,8.4545,35.0,True,62.8253,True,2.4427,1.0,000110011001100110000
2101,8.5753,37.3116,True,95.7091,True,2.5992,0.85,000110011001100110000
2104,8.2442,38.2444,True,93.038,True,2.3316,0.84,000110011001100110000
2107,8.387,42.2689,True,63.0091,True,4.3739,0.99,000110011001100110000
2108,8.1696,38.6066,True,85.5677,True,3.9612,1.0,000110011001100110000
2110,8.0,39.8015,True,73.9661,True,3.5558,1.0,000110011001100110000
2115,8.788,41.5797,True,65.4979,True,4.062,1.0,000110011001100110000
2118,8.5071,35.0,True,64.9041,True,2.5504,1.0,000110011001100110000
2119,8.7148,37.3388,True,96.8274,True,3.4471,0.84,000110011001100110000
2122,8.8098,45.0,True,66.6314,True,0.9953,0.98,000110011001100110000
2123,8.333,44.7846,True,74.4238,True,2.1585,1.0,000110011001100110000
2125,8.9,44.8918,True,65.0842,True,5.7689,0.98,000110011001100110000
2127,8.0283,44.2595,True,76.0937,True,4.8412,1.0,000110011001100110000
2130,8.8427,41.0527,True,92.2619,True,1.6207,0.99,000110011001100110000
2131,8.5202,43.4014,True,58.4033,True,5.4232,0.99,000110011001100110000
2132,8.0,42.8634,True,55.9617,True,2.9612,1.0,000110011001100110000
2133,8.8789,43.7664,True,70.2006,True,4.2933,1.0,000110011001100110000
2135,8.4531,44.3831,True,97.6903,True,3.4134,0.94,000110011001100110000
